년도,지역,작물,"면적

",생산량,단위생산량
2016,구미시,감,105.2,"1,509.00","1,434.40"
2017,구미시,감,104.2,"1,494.70","1,434.50"
2018,구미시,감,127.9,"1,593.50","1,245.90"
2019,구미시,감,116,"2,059","1,775"
2015,구미시,대추,-,-,-
2016,구미시,대추,-,-,-
2017,구미시,대추,-,-,-
2018,구미시,대추,-,-,-
2019,구미시,대추,-,-,-
2015,구미시,감귤,-,-,-
2016,구미시,감귤,-,-,-
2017,구미시,감귤,-,-,-
2018,구미시,감귤,-,-,-
2019,구미시,감귤,-,-,-
2015,구미시,체리,-,-,-
2016,구미시,체리,-,-,-
2017,구미시,체리,-,-,-
2018,구미시,체리,-,-,-
2019,구미시,체리,-,-,-
2015,구미시,오디,-,-,-
2016,구미시,오디,-,-,-
2017,구미시,오디,-,-,-
2018,구미시,오디,-,-,-
2019,구미시,오디,-,-,-
2015,구미시,산딸기,-,-,-
2016,구미시,산딸기,-,-,-
2017,구미시,산딸기,-,-,-
2018,구미시,산딸기,-,-,-
2019,구미시,산딸기,-,-,-
2015,구미시,복분자,-,-,-
2016,구미시,복분자,-,-,-
2017,구미시,복분자,-,-,-
2018,구미시,복분자,-,-,-
2019,구미시,복분자,-,-,-
2015,구미시,자두,21.6,229,"1,060.00"
2016,구미시,자두,24.6,347,"1,410.60"
2017,구미시,자두,18.2,256.7,"1,410.40"
2018,구미시,자두,25.6,293.1,"1,144.90"
2019,구미시,자두,30,191,637
2015,구미시,살구,-,-,-
2016,구미시,살구,-,-,-
2017,구미시,살구,-,-,-
2018,구미시,살구,-,-,-
2019,구미시,살구,-,-,-
2015,군위군,사과,765,"10,977","1,434"
2016,군위군,사과,758,"14,820","1,955"
2017,군위군,사과,745,"13,383","1,796"
2018,군위군,사과,745,"12,984","1,743"
2019,군위군,사과,746,"13,050","1,749"
2015,군위군,배,15,256,"1,703"
2016,군위군,배,15,285,"1,900"
2017,군위군,배,13,281,"2,162"
2018,군위군,배,13,242,"1,862"
2019,군위군,배,13,233,"1,792"
2015,군위군,복숭아,43,562,"1,319"
2016,군위군,복숭아,43,676,"1,572"
2017,군위군,복숭아,54,968,"1,793"
2018,군위군,복숭아,57,905,"1,588"
2019,군위군,복숭아,55,889,"1,616"
2017,청송군,포도,2.7,31.2,"1,155.60"
2018,구미시,포도,48,558,"1,162.50"
2016,포항시,포도,4.9,57.2,"1,166.00"
2017,포항시,포도,5,58,"1,168.00"
2019,구미시,포도,52,613,"1,179"
2015,군위군,감,8.4,119,"1,413"
2016,군위군,감,8.4,129,"1,536"
2017,군위군,감,7.4,111,"1,500"
2018,군위군,감,6.3,95,"1,508"
2019,군위군,감,6.1,90,"1,475"
2015,군위군,대추,-,-,-
2016,군위군,대추,-,-,-
2017,군위군,대추,-,-,-
2018,군위군,대추,-,-,-
2019,군위군,대추,-,-,-
2015,군위군,감귤,-,-,-
2016,군위군,감귤,-,-,-
2017,군위군,감귤,-,-,-
2018,군위군,감귤,-,-,-
2019,군위군,감귤,-,-,-
2015,군위군,체리,-,-,-
2016,군위군,체리,-,-,-
2017,군위군,체리,-,-,-
2018,군위군,체리,-,-,-
2019,군위군,체리,-,-,-
2015,군위군,오디,-,-,-
2016,군위군,오디,-,-,-
2017,군위군,오디,-,-,-
2018,군위군,오디,-,-,-
2019,군위군,오디,-,-,-
2015,군위군,산딸기,-,-,-
2016,군위군,산딸기,-,-,-
2017,군위군,산딸기,-,-,-
2018,군위군,산딸기,-,-,-
2019,군위군,산딸기,-,-,-
2015,군위군,복분자,-,-,-
2016,군위군,복분자,-,-,-
2017,군위군,복분자,-,-,-
2018,군위군,복분자,-,-,-
2019,군위군,복분자,-,-,-
2015,군위군,자두,196,"2,027","1,033"
2016,군위군,자두,217,"2,339","1,078"
2017,군위군,자두,208,"2,381","1,145"
2018,군위군,자두,206,"2,335","1,133"
2019,군위군,자두,222,"2,520","1,135"
2015,군위군,살구,-,-,-
2016,군위군,살구,-,-,-
2017,군위군,살구,-,-,-
2018,군위군,살구,-,-,-
2019,군위군,살구,-,-,-
2015,김천시,사과,382.4,"5,648.00","1,477.00"
2016,김천시,사과,406.8,"6,011.20","1,477.70"
2017,김천시,사과,428.9,"6,241.00","1,455.10"
2018,김천시,사과,431.3,"5,439.00","1,261.00"
2019,김천시,사과,422.7,"5,306.00","1,255.30"
2015,김천시,배,270.3,"3,433.00","1,270.10"
2016,김천시,배,323.6,"3,830.90","1,183.80"
2017,김천시,배,321.5,"6,275.30","1,951.90"
2018,김천시,배,311.1,"5,692.00","1,829.60"
2019,김천시,배,211.6,"2,928.00","1,383.70"
2015,김천시,복숭아,299.8,"4,611.00","1,538.00"
2016,김천시,복숭아,307.8,"4,812.30","1,563.50"
2017,김천시,복숭아,334.1,"3,789.20","1,134.20"
2018,김천시,복숭아,355.9,"3,599.00","1,011.20"
2019,김천시,복숭아,320,"3,963.00","1,238.40"
2018,영양군,포도,8.9,105.9,"1,189.90"
2016,영양군,포도,18.4,219.3,"1,191.80"
2019,청도군,포도,23.3,281.6,"1,209.00"
2015,청송군,포도,5.4,65,"1,215.00"
2017,예천군,포도,2,24.7,"1,235.00"
2015,김천시,감,156,"1,128.20",723.2
2016,김천시,감,132.7,"1,129.70",851.3
2017,김천시,감,166.2,"1,408.50",847.5
2018,김천시,감,210.1,"1,695.00",806.7
2019,김천시,감,29,257,886.2
2015,김천시,대추,-,-,-
2016,김천시,대추,-,-,-
2017,김천시,대추,-,-,-
2018,김천시,대추,-,-,-
2019,김천시,대추,-,-,-
2015,김천시,감귤,-,-,-
2016,김천시,감귤,-,-,-
2017,김천시,감귤,-,-,-
2018,김천시,감귤,-,-,-
2019,김천시,감귤,-,-,-
2015,김천시,체리,-,-,-
2016,김천시,체리,-,-,-
2017,김천시,체리,-,-,-
2018,김천시,체리,-,-,-
2019,김천시,체리,-,-,-
2015,김천시,오디,-,-,-
2016,김천시,오디,-,-,-
2017,김천시,오디,-,-,-
2018,김천시,오디,-,-,-
2019,김천시,오디,-,-,-
2015,김천시,산딸기,-,-,-
2016,김천시,산딸기,-,-,-
2017,김천시,산딸기,-,-,-
2018,김천시,산딸기,-,-,-
2019,김천시,산딸기,-,-,-
2015,김천시,복분자,-,-,-
2016,김천시,복분자,-,-,-
2017,김천시,복분자,-,-,-
2018,김천시,복분자,-,-,-
2019,김천시,복분자,-,-,-
2015,김천시,자두,"1,144.00","9,777.00",854.6
2016,김천시,자두,"1,077.10","9,723.90",902.8
2017,김천시,자두,"1,098.40","9,701.50",883.2
2018,김천시,자두,"1,070.90","7,404.00",691.3
2019,김천시,자두,"1,007.00","8,221.00",816.4
2015,김천시,살구,-,-,-
2016,김천시,살구,-,-,-
2017,김천시,살구,-,-,-
2018,김천시,살구,-,-,-
2019,김천시,살구,-,-,-
2015,문경시,사과,"1,975.40","44,152.20","2,235.10"
2016,문경시,사과,"2,016.50","44,501.00","2,206.80"
2017,문경시,사과,"1,994.90","43,184.50","2,164.70"
2018,문경시,사과,"2,043.90","40,759.20","1,994.20"
2019,문경시,사과,"2,090.80","42,289.10","2,022.60"
