년도,지역,작물,"면적

",생산량,단위생산량
2018,영덕군,감귤,-,-,-
2019,영덕군,감귤,-,-,-
2015,영덕군,체리,-,-,-
2016,영덕군,체리,-,-,-
2017,영덕군,체리,-,-,-
2018,영덕군,체리,-,-,-
2019,영덕군,체리,-,-,-
2015,영덕군,오디,-,-,-
2016,영덕군,오디,-,-,-
2017,영덕군,오디,-,-,-
2018,영덕군,오디,-,-,-
2019,영덕군,오디,-,-,-
2015,영덕군,산딸기,-,-,-
2016,영덕군,산딸기,-,-,-
2017,영덕군,산딸기,-,-,-
2018,영덕군,산딸기,-,-,-
2019,영덕군,산딸기,-,-,-
2015,영덕군,복분자,-,-,-
2016,영덕군,복분자,-,-,-
2017,영덕군,복분자,-,-,-
2018,영덕군,복분자,-,-,-
2019,영덕군,복분자,-,-,-
2015,영덕군,자두,-,-,-
2016,영덕군,자두,-,-,-
2017,영덕군,자두,-,-,-
2018,영덕군,자두,-,-,-
2019,영덕군,자두,-,-,-
2015,영덕군,살구,-,-,-
2016,영덕군,살구,-,-,-
2017,영덕군,살구,-,-,-
2018,영덕군,살구,-,-,-
2019,영덕군,살구,-,-,-
2015,영양군,사과,583.2,"10,490.20","1,798.70"
2016,영양군,사과,556.1,"10,852.50","1,951.50"
2017,영양군,사과,580.6,"10,101.60","1,739.90"
2018,영양군,사과,575,"10,708.00","1,862.30"
2019,영양군,사과,579.4,"10,690.00","1,845.00"
2015,영양군,배,17.3,351.9,"2,034.10"
2016,영양군,배,20.2,403.5,"1,998.00"
2017,영양군,배,20.1,336.5,"1,674.10"
2018,영양군,배,8.3,150.4,"1,812.00"
2019,영양군,배,7.6,126,"1,657.90"
2015,영양군,복숭아,25.3,271,"1,071.10"
2016,영양군,복숭아,20.8,262.2,"1,260.60"
2017,영양군,복숭아,26.6,335.5,"1,261.30"
2018,영양군,복숭아,21.5,347.3,"1,615.30"
2019,영양군,복숭아,16.5,238,"1,442.40"
2015,청도군,포도,24.3,392.8,"1,616.50"
2015,군위군,포도,29,475,"1,617"
2017,경산시,포도,"1,145.80","18,639.50","1,626.80"
2018,경산시,포도,"1,171.10","19,192.20","1,638.80"
2016,영주시,포도,62.4,"1,032.90","1,655.30"
2015,영양군,감,-,-,-
2016,영양군,감,-,-,-
2017,영양군,감,-,-,-
2018,영양군,감,-,-,-
2019,영양군,감,-,-,-
2015,영양군,대추,-,-,-
2016,영양군,대추,-,-,-
2017,영양군,대추,-,-,-
2018,영양군,대추,-,-,-
2019,영양군,대추,-,-,-
2015,영양군,감귤,-,-,-
2016,영양군,감귤,-,-,-
2017,영양군,감귤,-,-,-
2018,영양군,감귤,-,-,-
2019,영양군,감귤,-,-,-
2015,영양군,체리,-,-,-
2016,영양군,체리,-,-,-
2017,영양군,체리,-,-,-
2018,영양군,체리,-,-,-
2019,영양군,체리,-,-,-
2015,영양군,오디,-,-,-
2016,영양군,오디,-,-,-
2017,영양군,오디,-,-,-
2018,영양군,오디,-,-,-
2019,영양군,오디,-,-,-
2015,영양군,산딸기,-,-,-
2016,영양군,산딸기,-,-,-
2017,영양군,산딸기,-,-,-
2018,영양군,산딸기,-,-,-
2019,영양군,산딸기,-,-,-
2015,영양군,복분자,-,-,-
2016,영양군,복분자,-,-,-
2017,영양군,복분자,-,-,-
2018,영양군,복분자,-,-,-
2019,영양군,복분자,-,-,-
2015,영양군,자두,-,-,-
2016,영양군,자두,-,-,-
2017,영양군,자두,-,-,-
2018,영양군,자두,-,-,-
2019,영양군,자두,-,-,-
2015,영양군,살구,-,-,-
2016,영양군,살구,-,-,-
2017,영양군,살구,-,-,-
2018,영양군,살구,-,-,-
2019,영양군,살구,-,-,-
2015,영주시,사과,"3,296.00","100,514.00","3,049.60"
2016,영주시,사과,"3,332.90","99,642.20","2,989.60"
2017,영주시,사과,"3,304.20","84,587.00","2,560.00"
2018,영주시,사과,"3,320.90","82,124.20","2,473.00"
2019,영주시,사과,"3,408.40","92,888.40","2,725.30"
2015,영주시,배,2,36,"1,800.00"
2016,영주시,배,1.2,16.9,"1,408.30"
2017,영주시,배,1.7,15.8,929.4
2018,영주시,배,1.7,17,"1,000.00"
2019,영주시,배,1.7,19.4,"1,141.20"
2015,영주시,복숭아,171,"2,122.00","1,240.00"
2016,영주시,복숭아,157.7,"1,928.90","1,223.10"
2017,영주시,복숭아,174.7,"2,106.60","1,205.80"
2018,영주시,복숭아,175.7,"1,760.80","1,002.20"
2019,영주시,복숭아,182.9,"3,217.00","1,758.90"
2019,상주시,포도,"1,699.60","28,243.30","1,661.80"
2019,청송군,포도,3,50.6,"1,686.70"
2018,영천시,포도,"1,815.00","30,627.00","1,687.40"
2018,경주시,포도,104,"1,945.00","1,690.00"
2017,경주시,포도,115,"1,950.00","1,695.00"
2015,영주시,감,2,28,"1,400.00"
2016,영주시,감,1.5,18.7,"1,246.70"
2017,영주시,감,1.9,18.4,968.4
2018,영주시,감,1.5,17,"1,133.00"
2019,영주시,감,7.3,38.1,521.9
2015,영주시,대추,-,-,-
2016,영주시,대추,-,-,-
2017,영주시,대추,-,-,-
2018,영주시,대추,-,-,-
2019,영주시,대추,-,-,-
2015,영주시,감귤,-,-,-
2016,영주시,감귤,-,-,-
2017,영주시,감귤,-,-,-
2018,영주시,감귤,-,-,-
2019,영주시,감귤,-,-,-
2015,영주시,체리,-,-,-
2016,영주시,체리,-,-,-
2017,영주시,체리,-,-,-
2018,영주시,체리,-,-,-
2019,영주시,체리,-,-,-
2015,영주시,오디,-,-,-
2016,영주시,오디,-,-,-
2017,영주시,오디,-,-,-
2018,영주시,오디,-,-,-
2019,영주시,오디,-,-,-
2015,영주시,산딸기,-,-,-
2016,영주시,산딸기,-,-,-
2017,영주시,산딸기,-,-,-
2018,영주시,산딸기,-,-,-
2019,영주시,산딸기,-,-,-
2015,영주시,복분자,-,-,-
2016,영주시,복분자,-,-,-
2017,영주시,복분자,-,-,-
2018,영주시,복분자,-,-,-
2019,영주시,복분자,-,-,-
2015,영주시,자두,-,-,-
2016,영주시,자두,-,-,-
2017,영주시,자두,-,-,-
2018,영주시,자두,-,-,-
2019,영주시,자두,-,-,-
2015,영주시,살구,-,-,-
2016,영주시,살구,-,-,-
2017,영주시,살구,-,-,-
2018,영주시,살구,-,-,-
2019,영주시,살구,-,-,-
2015,영천시,사과,716.5,"19,675.40","2,746.00"
2016,영천시,사과,700.3,"15,339.00","2,190.00"
2017,영천시,사과,700.9,"15,317.00","2,185.00"
2018,영천시,사과,672,"13,241.00","1,970.40"
2019,영천시,사과,666.8,"13,061.10","1,958.80"
2015,영천시,배,136,"2,272.60","1,671.00"
2016,영천시,배,135.2,"2,229.00","1,649.00"
2017,영천시,배,133.5,"2,284.00","1,711.00"
2018,영천시,배,130.3,"2,159.00","1,656.90"
2019,영천시,배,132.1,"3,775.40","2,858.00"
2015,영천시,복숭아,"1,303.60","22,305.90","1,711.10"
2016,영천시,복숭아,"1,366.00","22,767.00","1,667.00"
2017,영천시,복숭아,"1,422.40","21,101.00","1,483.50"
2018,영천시,복숭아,"1,490.10","21,700.00","1,456.30"
2019,영천시,복숭아,"2,128.80","31,115.00","1,461.60"
2015,영천시,포도,"2,327.10","39,632.70","1,703.10"
2018,영덕군,포도,28,480,"1,714"
2016,영천시,포도,"2,043.00","35,020.00","1,714.10"
2016,군위군,포도,29,503,"1,734"
2015,칠곡군,포도,155.5,"2,705.60","1,739.90"
2015,영천시,감,26.9,276.2,"1,026.80"
2016,영천시,감,33.1,308,930.5
2017,영천시,감,36.2,304,839.8
2018,영천시,감,29.4,296,"1,006.80"
2019,영천시,감,32,313.6,980
2015,영천시,대추,-,-,-
2016,영천시,대추,-,-,-
2017,영천시,대추,-,-,-
2018,영천시,대추,-,-,-
2019,영천시,대추,-,-,-
2015,영천시,감귤,-,-,-
2016,영천시,감귤,-,-,-
2017,영천시,감귤,-,-,-
2018,영천시,감귤,-,-,-
2019,영천시,감귤,-,-,-
2015,영천시,체리,-,-,-
2016,영천시,체리,-,-,-
2017,영천시,체리,-,-,-
2018,영천시,체리,-,-,-
2019,영천시,체리,-,-,-
2015,영천시,오디,-,-,-
2016,영천시,오디,-,-,-
2017,영천시,오디,-,-,-
2018,영천시,오디,-,-,-
2019,영천시,오디,-,-,-
2015,영천시,산딸기,-,-,-
2016,영천시,산딸기,-,-,-
2017,영천시,산딸기,-,-,-
2018,영천시,산딸기,-,-,-
2019,영천시,산딸기,-,-,-
2015,영천시,복분자,-,-,-
2016,영천시,복분자,-,-,-
2017,영천시,복분자,-,-,-
2018,영천시,복분자,-,-,-
2019,영천시,복분자,-,-,-
2015,영천시,자두,308.7,"3,000.70",972
2016,영천시,자두,316,"3,048.00",965
2017,영천시,자두,341.6,"3,161.00",925
2018,영천시,자두,375,"2,947.00",785.9
2019,영천시,자두,361.2,"4,782.00","1,323.90"
2015,영천시,살구,56,481.3,859.5
2016,영천시,살구,58.3,486,834
2017,영천시,살구,61.7,509,825
2018,영천시,살구,59.7,505,845.9
2019,영천시,살구,63,552.3,876.7
2015,예천군,사과,"1,010.60","18,406.70","1,821.40"
2016,예천군,사과,"1,006.90","18,020.70","1,790.00"
2017,예천군,사과,"1,032.20","18,952.40","1,836.00"
2018,예천군,사과,976.5,"16,182.70","1,657.00"
2019,예천군,사과,909.1,"15,463.00","1,700.90"
2015,예천군,배,81.6,"1,880.50","2,304.50"
2016,예천군,배,43,963,"2,240.00"
2017,예천군,배,36.1,899.9,"2,493.00"
2018,예천군,배,30.7,760.3,"2,477.00"
2019,예천군,배,26,684,"2,630.80"
2015,예천군,복숭아,92.8,"1,447.30","1,559.60"
2016,예천군,복숭아,93.2,"1,526.10","1,637.00"
2017,예천군,복숭아,87.4,"1,347.00","1,541.00"
2018,예천군,복숭아,93.2,"1,370.90","1,471.00"
2019,예천군,복숭아,62,648,"1,045.20"
2015,안동시,포도,20.8,370.4,"1,781.00"
2017,영천시,포도,"1,898.40","34,407.00","1,812.40"
2016,안동시,포도,17.6,321.8,"1,828.00"
2015,경산시,포도,"1,608.00","29,433.00","1,830.40"
2017,영덕군,포도,27,495,"1,833"
2015,예천군,감,116.9,"1,033.60",884.2
2016,예천군,감,108.8,974.1,895
2017,예천군,감,94.6,952.9,"1,007.30"
2018,예천군,감,77.3,738.6,955.5
2019,예천군,감,84,823,979.8
2015,예천군,대추,-,-,-
2016,예천군,대추,-,-,-
2017,예천군,대추,-,-,-
2018,예천군,대추,-,-,-
2019,예천군,대추,-,-,-
2015,예천군,감귤,-,-,-
2016,예천군,감귤,-,-,-
2017,예천군,감귤,-,-,-
2018,예천군,감귤,-,-,-
2019,예천군,감귤,-,-,-
2015,예천군,체리,-,-,-
2016,예천군,체리,-,-,-
2017,예천군,체리,-,-,-
2018,예천군,체리,-,-,-
2019,예천군,체리,-,-,-
2015,예천군,오디,-,-,-
2016,예천군,오디,-,-,-
2017,예천군,오디,-,-,-
2018,예천군,오디,-,-,-
2019,예천군,오디,-,-,-
2015,예천군,산딸기,-,-,-
2016,예천군,산딸기,-,-,-
2017,예천군,산딸기,-,-,-
2018,예천군,산딸기,-,-,-
2019,예천군,산딸기,-,-,-
2015,예천군,복분자,-,-,-
2016,예천군,복분자,-,-,-
2017,예천군,복분자,-,-,-
2018,예천군,복분자,-,-,-
2019,예천군,복분자,-,-,-
2015,예천군,자두,18.8,201.7,"1,072.90"
2016,예천군,자두,19.4,213,"1,098.00"
2017,예천군,자두,24.5,282.3,"1,152.00"
2018,예천군,자두,29.8,326.7,"1,095.00"
2019,예천군,자두,32.8,34,103.7
2015,예천군,살구,-,-,-
2016,예천군,살구,-,-,-
2017,예천군,살구,-,-,-
2018,예천군,살구,-,-,-
2019,예천군,살구,-,-,-
2015,울진군,사과,2.8,30.6,"1,092.90"
2016,울진군,사과,6.4,57,890.6
2017,울진군,사과,4.5,55.6,"1,235.60"
2018,울진군,사과,4.7,56,"1,191.50"
2019,울진군,사과,20,114.2,571
2015,울진군,배,0.5,9.5,"1,900.00"
2016,울진군,배,1.5,8.5,566.7
2017,울진군,배,0.8,10.1,"1,262.50"
2018,울진군,배,1.3,9.9,761.5
2019,울진군,배,1,19,"1,900.00"
2015,울진군,복숭아,0.4,1.6,400
2016,울진군,복숭아,1.2,16.5,"1,375.00"
2017,울진군,복숭아,0.5,5,"1,000.00"
2018,울진군,복숭아,0.7,5.5,785.7
2019,울진군,복숭아,2.2,10.4,473
2017,청도군,포도,21.5,396,"1,842.00"
2015,영양군,포도,13.6,255,"1,875.00"
2016,경산시,포도,982.7,"19,220.00","1,955.80"
2016,청도군,포도,21.6,424,"1,963.00"
2015,영덕군,포도,35,690,"1,971"
2015,울진군,감,43.5,449,"1,032.00"
2016,울진군,감,43.3,393,907.6
2017,울진군,감,41.5,416.5,"1,003.60"
2018,울진군,감,43.1,441,"1,023.20"
2019,울진군,감,97.3,998.6,"1,026.50"
2015,울진군,대추,-,-,-
2016,울진군,대추,-,-,-
2017,울진군,대추,-,-,-
2018,울진군,대추,-,-,-
2019,울진군,대추,-,-,-
2015,울진군,감귤,-,-,-
2016,울진군,감귤,-,-,-
2017,울진군,감귤,-,-,-
2018,울진군,감귤,-,-,-
2019,울진군,감귤,-,-,-
2015,울진군,체리,-,-,-
2016,울진군,체리,-,-,-
2017,울진군,체리,-,-,-
2018,울진군,체리,-,-,-
2019,울진군,체리,-,-,-
2015,울진군,오디,-,-,-
2016,울진군,오디,-,-,-
2017,울진군,오디,-,-,-
2018,울진군,오디,-,-,-
2019,울진군,오디,-,-,-
2015,울진군,산딸기,-,-,-
2016,울진군,산딸기,-,-,-
2017,울진군,산딸기,-,-,-
2018,울진군,산딸기,-,-,-
2019,울진군,산딸기,-,-,-
2015,울진군,복분자,-,-,-
2016,울진군,복분자,-,-,-
2017,울진군,복분자,-,-,-
2018,울진군,복분자,-,-,-
2019,울진군,복분자,-,-,-
2015,울진군,자두,-,-,-
2016,울진군,자두,-,-,-
2017,울진군,자두,-,-,-
2018,울진군,자두,-,-,-
2019,울진군,자두,-,-,-
2015,울진군,살구,-,-,-
2016,울진군,살구,-,-,-
2017,울진군,살구,-,-,-
2018,울진군,살구,-,-,-
2019,울진군,살구,-,-,-
2015,의성군,사과,"2,646.80","63,221.70","2,615.20"
2016,의성군,사과,"2,679.20","57,927.50","2,340.00"
2017,의성군,사과,"2,699.60","55,895.00","2,262.00"
2018,의성군,사과,"2,289.30","45,494.00","1,987.00"
2019,의성군,사과,"2,445.00","47,351.30","1,936.70"
2015,의성군,배,37.1,610.2,"1,643.40"
2016,의성군,배,34.3,616.7,"1,640.00"
2017,의성군,배,23.5,394,"1,674.00"
2018,의성군,배,22.8,369,"1,619.00"
2019,의성군,배,18.3,325.8,"1,776.90"
2015,의성군,복숭아,469.7,"7,635.50","1,830.30"
2016,의성군,복숭아,526.7,"8,921.30","1,890.00"
2017,의성군,복숭아,577.6,"9,884.00","1,903.00"
2018,의성군,복숭아,548.4,"10,276.00","4,273.00"
2019,의성군,복숭아,613.5,"10,545.30","1,719.00"
2018,청송군,포도,1.6,31.6,"1,975.00"
2018,청도군,포도,21.6,429,"1,986.00"
2017,성주군,포도,7.3,148.1,"2,028.80"
2016,의성군,포도,36,724.4,"2,034.80"
2017,상주시,포도,"1,803.00","37,153.00","2,060.00"
2015,의성군,감,88.4,912.7,"1,102.60"
2016,의성군,감,102.3,"1,246.50","1,100.20"
2017,의성군,감,90.2,"1,003.00","1,112.00"
2018,의성군,감,90.6,955,"2,083.00"
2019,의성군,감,89.5,891.8,996.7
2015,의성군,대추,-,-,-
2016,의성군,대추,-,-,-
2017,의성군,대추,-,-,-
2018,의성군,대추,-,-,-
2019,의성군,대추,-,-,-
2015,의성군,감귤,-,-,-
2016,의성군,감귤,-,-,-
2017,의성군,감귤,-,-,-
2018,의성군,감귤,-,-,-
2019,의성군,감귤,-,-,-
2015,의성군,체리,-,-,-
2016,의성군,체리,-,-,-
2017,의성군,체리,-,-,-
2018,의성군,체리,-,-,-
2019,의성군,체리,-,-,-
2015,의성군,오디,-,-,-
2016,의성군,오디,-,-,-
2017,의성군,오디,-,-,-
2018,의성군,오디,-,-,-
2019,의성군,오디,-,-,-
2015,의성군,산딸기,-,-,-
2016,의성군,산딸기,-,-,-
2017,의성군,산딸기,-,-,-
2018,의성군,산딸기,-,-,-
2019,의성군,산딸기,-,-,-
2015,의성군,복분자,-,-,-
2016,의성군,복분자,-,-,-
2017,의성군,복분자,-,-,-
2018,의성군,복분자,-,-,-
2019,의성군,복분자,-,-,-
2015,의성군,자두,"1,263.80","16,231.60","1,330.00"
2016,의성군,자두,"1,335.20","17,308.30","1,340.70"
2017,의성군,자두,"1,317.20","17,805.00","1,403.00"
2018,의성군,자두,"1,257.10","16,351.00","2,301.00"
2019,의성군,자두,"1,297.30","16,804.60","1,295.40"
2015,의성군,살구,-,-,-
2016,의성군,살구,-,-,-
2017,의성군,살구,-,-,-
2018,의성군,살구,-,-,-
2019,의성군,살구,-,-,-
2015,청도군,사과,182.9,"4,213","2,304.00"
2016,청도군,사과,182,"3,804","2,090.00"
2017,청도군,사과,185.1,"3,435","1,856.00"
2018,청도군,사과,187.2,"3,100","1,656.00"
2019,청도군,사과,190.6,"2,707","1,420.00"
2015,청도군,배,22.6,361.8,"1,601.00"
2016,청도군,배,21.1,335,"1,588.00"
2017,청도군,배,17,331,"1,947.00"
2018,청도군,배,14.9,264,"1,772.00"
2019,청도군,배,13.2,111,841
2015,청도군,복숭아,950.7,"16,157.00","1,699.50"
2016,청도군,복숭아,"1,012.70","16,300.00","1,609.60"
2017,청도군,복숭아,"1,033.20","17,604.00","1,704.00"
2018,청도군,복숭아,"1,039.90","16,707.00","1,607.00"
2019,청도군,복숭아,"1,113.20","17,486.00","1,571.00"
2018,상주시,포도,"1,832.10","37,852.00","2,066.00"
2019,칠곡군,포도,64.2,"1,340.00","2,087.20"
2019,의성군,포도,19.3,407.8,"2,110.90"
2015,경주시,포도,215,"4,547.00","2,114.00"
2016,성주군,포도,3.1,67,"2,161.30"
2015,청도군,감,"2,131.50","50,458","2,367.30"
2016,청도군,감,"2,104.20","43,283","2,057.00"
2017,청도군,감,"2,040.00","47,400","2,324.00"
2018,청도군,감,"2,051.70","44,038","3,051.00"
2019,청도군,감,"2,116.20","45,055","2,129.00"
2015,청도군,대추,-,-,-
2016,청도군,대추,-,-,-
2017,청도군,대추,-,-,-
2018,청도군,대추,-,-,-
2019,청도군,대추,-,-,-
2015,청도군,감귤,-,-,-
2016,청도군,감귤,-,-,-
2017,청도군,감귤,-,-,-
2018,청도군,감귤,-,-,-
2019,청도군,감귤,-,-,-
2015,청도군,체리,-,-,-
2016,청도군,체리,-,-,-
2017,청도군,체리,-,-,-
2018,청도군,체리,-,-,-
2019,청도군,체리,-,-,-
2015,청도군,오디,-,-,-
2016,청도군,오디,-,-,-
2017,청도군,오디,-,-,-
2018,청도군,오디,-,-,-
2019,청도군,오디,-,-,-
2015,청도군,산딸기,-,-,-
2016,청도군,산딸기,-,-,-
2017,청도군,산딸기,-,-,-
2018,청도군,산딸기,-,-,-
2019,청도군,산딸기,-,-,-
2015,청도군,복분자,-,-,-
2016,청도군,복분자,-,-,-
2017,청도군,복분자,-,-,-
2018,청도군,복분자,-,-,-
2019,청도군,복분자,-,-,-
2015,청도군,자두,-,-,-
2016,청도군,자두,-,-,-
2017,청도군,자두,-,-,-
2018,청도군,자두,-,-,-
2019,청도군,자두,-,-,-
2015,청도군,살구,-,-,-
2016,청도군,살구,-,-,-
2017,청도군,살구,-,-,-
2018,청도군,살구,-,-,-
2019,청도군,살구,-,-,-
2015,청송군,사과,"2,975.80","54,833.00","1,842.60"
2016,청송군,사과,"3,238.50","59,362.00","1,833.00"
2017,청송군,사과,"3,363.10","64,403.40","1,915.00"
2018,청송군,사과,"3,339.40","62,613.80","1,875.00"
2019,청송군,사과,"3,423.00","60,929.00","1,780.00"
2015,청송군,배,22.9,374.4,"1,637.10"
2016,청송군,배,19.9,292.7,"1,473.10"
2017,청송군,배,19.7,256.5,"1,302.00"
2018,청송군,배,19,277,"1,457.90"
2019,청송군,배,18.9,162.1,857.7
2015,청송군,복숭아,32,656.3,"2,049.00"
2016,청송군,복숭아,50.7,973.6,"1,920.30"
2017,청송군,복숭아,58.4,964.7,"1,651.90"
2018,청송군,복숭아,63.7,"1,265.60","1,986.80"
2019,청송군,복숭아,65.4,"1,056.50","1,615.40"
2017,의성군,포도,20.4,441,"2,183.00"
2016,상주시,포도,"1,970.20","43,128.40","2,189.20"
2015,상주시,포도,"1,955.70","43,289.20","2,213.50"
2017,칠곡군,포도,62.2,"1,433.00","2,303.90"
2015,의성군,포도,49.7,"1,098.30","2,306.70"
2015,청송군,감,1.9,2.1,110.5
2016,청송군,감,16.9,122.4,723.4
2017,청송군,감,17.9,126.7,707.8
2018,청송군,감,5,82.4,"1,648.00"
2019,청송군,감,5.1,28.9,568
2015,청송군,대추,28.3,284.5,"1,006.00"
2016,청송군,대추,31.6,320.3,"1,013.00"
2017,청송군,대추,24.8,217.6,877.4
2018,청송군,대추,24.6,231.1,939.4
2019,청송군,대추,24.2,246.7,"1,019.40"
2015,청송군,감귤,-,-,-
2016,청송군,감귤,-,-,-
2017,청송군,감귤,-,-,-
2018,청송군,감귤,-,-,-
2019,청송군,감귤,-,-,-
2015,청송군,체리,-,-,-
2016,청송군,체리,-,-,-
2017,청송군,체리,-,-,-
2018,청송군,체리,-,-,-
2019,청송군,체리,-,-,-
2015,청송군,오디,-,-,-
2016,청송군,오디,-,-,-
2017,청송군,오디,-,-,-
2018,청송군,오디,-,-,-
2019,청송군,오디,-,-,-
2015,청송군,산딸기,-,-,-
2016,청송군,산딸기,-,-,-
2017,청송군,산딸기,-,-,-
2018,청송군,산딸기,-,-,-
2019,청송군,산딸기,-,-,-
2015,청송군,복분자,-,-,-
2016,청송군,복분자,-,-,-
2017,청송군,복분자,-,-,-
2018,청송군,복분자,-,-,-
2019,청송군,복분자,-,-,-
2015,청송군,자두,-,-,-
2016,청송군,자두,-,-,-
2017,청송군,자두,-,-,-
2018,청송군,자두,-,-,-
2019,청송군,자두,-,-,-
2015,청송군,살구,-,-,-
2016,청송군,살구,-,-,-
2017,청송군,살구,-,-,-
2018,청송군,살구,-,-,-
2019,청송군,살구,-,-,-
2015,칠곡군,사과,84.1,"2,046.00","2,432.80"
2016,칠곡군,사과,84.1,"2,046.00","2,432.80"
2017,칠곡군,사과,81,"1,984.00","2,449.40"
2018,칠곡군,사과,75.7,"1,970.00","2,602.40"
2019,칠곡군,사과,80.9,"1,877.00","2,320.10"
2015,칠곡군,배,35.4,528.9,"1,494.10"
2016,칠곡군,배,35.4,528.9,"1,494.10"
2017,칠곡군,배,34.1,531,"1,557.20"
2018,칠곡군,배,33.5,509,"1,519.40"
2019,칠곡군,배,18.9,325.3,"1,721.20"
2015,칠곡군,복숭아,30,520.6,"1,735.30"
2016,칠곡군,복숭아,30,520.6,"1,735.30"
2017,칠곡군,복숭아,32.2,538,"1,670.80"
2018,칠곡군,복숭아,30.6,511.1,"1,670.30"
2019,칠곡군,복숭아,43.2,809.7,"1,874.30"
2015,성주군,포도,3.5,81.3,"2,322.90"
2018,칠곡군,포도,59.7,"1,428.00","2,392.00"
2016,칠곡군,포도,91.8,"2,296.40","2,501.50"
2018,의성군,포도,20.8,450,"3,754.00"
2015,영주시,포도,68,"2,810.00","4,132.40"
2015,칠곡군,감,48.3,674.4,"1,396.30"
2016,칠곡군,감,48.3,674.4,"1,396.30"
2017,칠곡군,감,46.6,648.2,"1,391.00"
2018,칠곡군,감,45.2,643.2,"1,423.00"
2019,칠곡군,감,40.5,340.5,840.7
2015,칠곡군,대추,-,-,-
2016,칠곡군,대추,-,-,-
2017,칠곡군,대추,-,-,-
2018,칠곡군,대추,-,-,-
2019,칠곡군,대추,-,-,-
2015,칠곡군,감귤,-,-,-
2016,칠곡군,감귤,-,-,-
2017,칠곡군,감귤,-,-,-
2018,칠곡군,감귤,-,-,-
2019,칠곡군,감귤,-,-,-
2015,칠곡군,체리,-,-,-
2016,칠곡군,체리,-,-,-
2017,칠곡군,체리,-,-,-
2018,칠곡군,체리,-,-,-
2019,칠곡군,체리,-,-,-
2015,칠곡군,오디,-,-,-
2016,칠곡군,오디,-,-,-
2017,칠곡군,오디,-,-,-
2018,칠곡군,오디,-,-,-
2019,칠곡군,오디,-,-,-
2015,칠곡군,산딸기,-,-,-
2016,칠곡군,산딸기,-,-,-
2017,칠곡군,산딸기,-,-,-
2018,칠곡군,산딸기,-,-,-
2019,칠곡군,산딸기,-,-,-
2015,칠곡군,복분자,-,-,-
2016,칠곡군,복분자,-,-,-
2017,칠곡군,복분자,-,-,-
2018,칠곡군,복분자,-,-,-
2019,칠곡군,복분자,-,-,-
2015,칠곡군,자두,10.5,111,"1,057.10"
2016,칠곡군,자두,10.5,111,"1,057.10"
2017,칠곡군,자두,13.7,123,897.8
2018,칠곡군,자두,13.7,123,897.8
2019,칠곡군,자두,16,172.7,"1,079.40"
2015,칠곡군,살구,-,-,-
2016,칠곡군,살구,-,-,-
2017,칠곡군,살구,-,-,-
2018,칠곡군,살구,-,-,-
2019,칠곡군,살구,-,-,-
2015,포항시,사과,"1,032.90","19,485.50","1,886.50"
2016,포항시,사과,"1,031.30","18,169.60","2,009.10"
2017,포항시,사과,"1,029.00","18,940.00","2,063.00"
2018,포항시,사과,"1,009.00","18,042.00","2,031.00"
2019,포항시,사과,"1,102.10","19,277.40","1,749.20"
2015,포항시,배,35,580.5,"1,658.60"
2016,포항시,배,28.5,524.2,"1,881.50"
2017,포항시,배,28.3,518,"1,872.00"
2018,포항시,배,27.8,432.4,"1,744.00"
2019,포항시,배,53.9,"1,112.90","2,064.70"
2015,포항시,복숭아,19.2,184.8,"1,162.30"
2016,포항시,복숭아,18.3,224.2,"1,267.00"
2017,포항시,복숭아,19,248,"1,290.00"
2018,포항시,복숭아,27,300,"1,168.00"
2019,포항시,복숭아,25.4,337.7,"1,356.20"
2015,봉화군,포도,-,-,-
2015,울진군,포도,-,-,-
2016,울진군,포도,-,-,-
2017,울진군,포도,-,-,-
2018,울진군,포도,-,-,-
2015,포항시,감,138.2,"1,746.50","1,263.70"
2016,포항시,감,131.6,"1,759.50","1,457.70"
2017,포항시,감,131.8,"1,978.00","1,500.80"
2018,포항시,감,134.6,"1,658.80","1,232.00"
2019,포항시,감,113.4,"1,972.40","1,739.30"
2015,포항시,대추,-,-,-
2016,포항시,대추,-,-,-
2017,포항시,대추,-,-,-
2018,포항시,대추,-,-,-
2019,포항시,대추,-,-,-
2015,포항시,감귤,-,-,-
2016,포항시,감귤,-,-,-
2017,포항시,감귤,-,-,-
2018,포항시,감귤,-,-,-
2019,포항시,감귤,-,-,-
2015,포항시,체리,-,-,-
2016,포항시,체리,-,-,-
2017,포항시,체리,-,-,-
2018,포항시,체리,-,-,-
2019,포항시,체리,-,-,-
2015,포항시,오디,-,-,-
2016,포항시,오디,-,-,-
2017,포항시,오디,-,-,-
2018,포항시,오디,-,-,-
2019,포항시,오디,-,-,-
2015,포항시,산딸기,-,-,-
2016,포항시,산딸기,-,-,-
2017,포항시,산딸기,-,-,-
2018,포항시,산딸기,-,-,-
2019,포항시,산딸기,-,-,-
2015,포항시,복분자,-,-,-
2016,포항시,복분자,-,-,-
2017,포항시,복분자,-,-,-
2018,포항시,복분자,-,-,-
2019,포항시,복분자,-,-,-
2015,포항시,자두,-,-,-
2016,포항시,자두,-,-,-
2017,포항시,자두,-,-,-
2018,포항시,자두,-,-,-
2019,포항시,자두,-,-,-
2015,포항시,살구,-,-,-
2016,포항시,살구,-,-,-
2017,포항시,살구,-,-,-
2018,포항시,살구,-,-,-
2019,포항시,살구,-,-,-
